Title,Rating,Age
Super Adventure Quest,8.5,10
Galactic Conquest,9.2,12
Mystic Dungeon Crawler,7.8,14
Pixel Racing Championship,8.0,8
Epic Space Odyssey,9.5,16
Fantasy Kingdom Defender,7.2,10
Stealth Ops: Shadow Assassin,8.8,15
Time Traveler's Chronicles,9.0,12
Virtual Reality Racer,7.5,13
Zombie Apocalypse Survival,8.3,16
Dragon Slayer Legends,9.3,14
Skyrim: The Elder Scrolls,9.7,17
Lost In Cybernetic Realm,7.0,12
Puzzle Quest Challenge,8.2,8
Galaxy Wars: Star Command,9.1,14
Infinite Runner Challenge,7.6,10
Ancient Civilization Builder,8.9,13
Alien Invasion Tactics,7.4,11
Hidden Object Mystery Mansion,8.6,16
City Builder Tycoon,8.4,12
Underwater Exploration Adventure,9.4,15
High-Speed Police Pursuit,7.9,14
Mythical Creatures Quest,8.7,11
Survival Island: Wilderness,7.3,13
Arcade Classics Collection,9.6,10
Robo-Wars: Future Combat,8.1,15
Medieval Kingdom Strategy,7.7,12
Moon Base Colonization,8.3,16
Mega Sports Championship,9.2,10
Mystery Detective Noir,8.5,18
Futuristic FPS Showdown,7.8,17
Island Paradise Resort,8.0,10
Secret Agent Espionage,9.0,14
Classic Board Game Collection,8.2,6
Apocalyptic Wasteland Raiders,8.9,16
Retro Platformer Challenge,7.5,9
Battlefield Tactics Commander,8.7,15
Jurassic Dinosaur Safari,7.1,10
Viking Conquest Saga,9.3,13
Casual Cooking Madness,7.4,8
Wild West Outlaw Adventure,8.6,12
Galactic Trading Empire,8.8,14
World War II Strategy,8.1,16
Candyland Adventure Quest,9.1,6
Haunted Mansion Horror,7.6,18
Space Pirate Simulator,8.4,14
Motorcycle Racing Thrill,9.5,12
Robot Factory Tycoon,7.9,10
Rainbow Unicorn Fantasy,8.0,5
